Date,Positive cases
10-Mar-20,0
11-Mar-20,3
12-Mar-20,3
13-Mar-20,8
14-Mar-20,9
15-Mar-20,9
16-Mar-20,9
17-Mar-20,11
18-Mar-20,11
19-Mar-20,12
20-Mar-20,12
21-Mar-20,12
22-Mar-20,12
23-Mar-20,12
24-Mar-20,12
25-Mar-20,12
26-Mar-20,12
27-Mar-20,12
28-Mar-20,12
29-Mar-20,12
30-Mar-20,12
31-Mar-20,14
01-Apr-20,14
02-Apr-20,14
03-Apr-20,15
04-Apr-20,18
05-Apr-20,18
06-Apr-20,18
07-Apr-20,18
08-Apr-20,20
09-Apr-20,24
10-Apr-20,27
11-Apr-20,28
12-Apr-20,33
13-Apr-20,36
14-Apr-20,42
15-Apr-20,47
16-Apr-20,51
17-Apr-20,53
18-Apr-20,59
19-Apr-20,60
20-Apr-20,61
21-Apr-20,62
22-Apr-20,65
23-Apr-20,78
24-Apr-20,80
25-Apr-20,83
26-Apr-20,94
27-Apr-20,103
28-Apr-20,110
29-Apr-20,110
